ID         | PATH
------------------------------------------------------------
743699     | /Alimentos y Bebidas
846745     | /Alimentos y Bebidas/Bebidas
846746     | /Alimentos y Bebidas/Bebidas/Agua
846751     | /Alimentos y Bebidas/Bebidas/Bebidas Deportivas y Energéticas
846749     | /Alimentos y Bebidas/Bebidas/Jarabes
846747     | /Alimentos y Bebidas/Bebidas/Leche
4690668    | /Alimentos y Bebidas/Bebidas/Otros
846748     | /Alimentos y Bebidas/Bebidas/Refrescos
743700     | /Alimentos y Bebidas/Cervezas, Vinos y Licores
743711     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Brandy
743703     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Cervezas
743701     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Cervezas Artesanales
743712     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Champagne
743713     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Cognac
743714     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Cremas y Licores
743704     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Ginebra
743715     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Jerez
743705     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Mezcal
4690671    | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Otros
743706     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Ron
743707     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Tequila
743716     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Vinos
743708     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Vodka
743710     | /Alimentos y Bebidas/Cervezas, Vinos y Licores/Whisky
846752     | /Alimentos y Bebidas/Despensa
846763     | /Alimentos y Bebidas/Despensa/Aceites de Cocina
846761     | /Alimentos y Bebidas/Despensa/Alimentos Instantáneos
846768     | /Alimentos y Bebidas/Despensa/Arroz, Frijol y Semillas
846765     | /Alimentos y Bebidas/Despensa/Azúcar y Endulzantes
846758     | /Alimentos y Bebidas/Despensa/Botanas y Fruta Seca
846757     | /Alimentos y Bebidas/Despensa/Café, Té y Sustitutos
846756     | /Alimentos y Bebidas/Despensa/Cereales y Barras
846754     | /Alimentos y Bebidas/Despensa/Dulces y Chocolates
846759     | /Alimentos y Bebidas/Despensa/Enlatados y Conservas
846760     | /Alimentos y Bebidas/Despensa/Especias y Sazonadores
846753     | /Alimentos y Bebidas/Despensa/Galletas
846767     | /Alimentos y Bebidas/Despensa/Harina y Repostería
846766     | /Alimentos y Bebidas/Despensa/Mermeladas y Miel
4690673    | /Alimentos y Bebidas/Despensa/Otros
846762     | /Alimentos y Bebidas/Despensa/Pastas
846764     | /Alimentos y Bebidas/Despensa/Saborizantes y Jarabes
846755     | /Alimentos y Bebidas/Despensa/Salsas, Aderezos y Vinagre
1371651    | /Automotriz
312938     | /Automotriz/Automotriz
312940     | /Automotriz/Automotriz/Accesorios para Auto
694032     | /Automotriz/Automotriz/Artículos de Limpieza
312947     | /Automotriz/Automotriz/Baterías
132195     | /Automotriz/Automotriz/Llantas
4690717    | /Automotriz/Automotriz/Otros
295541     | /Automotriz/Automotriz/Rines
713201     | /Automotriz/Refacciones Automotrices
713204     | /Automotriz/Refacciones Automotrices/Carburación
713205     | /Automotriz/Refacciones Automotrices/Carrocería Y Colisión
713206     | /Automotriz/Refacciones Automotrices/Eléctrico
713282     | /Automotriz/Refacciones Automotrices/Enfriamiento Calefacción
713535     | /Automotriz/Refacciones Automotrices/Escape
713581     | /Automotriz/Refacciones Automotrices/Faros
713573     | /Automotriz/Refacciones Automotrices/Frenos
717094     | /Automotriz/Refacciones Automotrices/Iluminación
713575     | /Automotriz/Refacciones Automotrices/Moldura Puerta
713577     | /Automotriz/Refacciones Automotrices/Motor
4690719    | /Automotriz/Refacciones Automotrices/Otros
713578     | /Automotriz/Refacciones Automotrices/Sensores Y Válvulas
713579     | /Automotriz/Refacciones Automotrices/Suspensión Y Dirección
713580     | /Automotriz/Refacciones Automotrices/Tren Motriz
1371648    | /Bebés y juguetes
737112     | /Bebés y juguetes/Armables y Posters
737128     | /Bebés y juguetes/Armables y Posters/Armables
830137     | /Bebés y juguetes/Armables y Posters/Hojas para colorear
737113     | /Bebés y juguetes/Armables y Posters/Posters decorativos
1371692    | /Bebés y juguetes/Bebés
1371959    | /Bebés y juguetes/Bebés/Accesorios
1371957    | /Bebés y juguetes/Bebés/Alimentación
1371952    | /Bebés y juguetes/Bebés/Andaderas
1371955    | /Bebés y juguetes/Bebés/Aseo e Higiene
4667411    | /Bebés y juguetes/Bebés/Autoasientos
5092082    | /Bebés y juguetes/Bebés/Blancos
1371950    | /Bebés y juguetes/Bebés/Carriolas
1371951    | /Bebés y juguetes/Bebés/Cunas
1371956    | /Bebés y juguetes/Bebés/Estimulación
1371958    | /Bebés y juguetes/Bebés/Muebles Infantiles
4690711    | /Bebés y juguetes/Bebés/Otros
1371960    | /Bebés y juguetes/Bebés/Paquetes
1371954    | /Bebés y juguetes/Bebés/Seguridad y Monitores
255619     | /Bebés y juguetes/Juegos
4667412    | /Bebés y juguetes/Juegos/Casitas y Juegos de Jardín
4667416    | /Bebés y juguetes/Juegos/Didácticos y Manualidades
4667415    | /Bebés y juguetes/Juegos/Juegos Acuáticos
256045     | /Bebés y juguetes/Juegos/Juegos de Mesa
4667417    | /Bebés y juguetes/Juegos/Juegos de Salón
1371693    | /Bebés y juguetes/Juguetes
1371966    | /Bebés y juguetes/Juguetes/Construcción y Bloques
1371963    | /Bebés y juguetes/Juguetes/Figuras de Acción
4667419    | /Bebés y juguetes/Juguetes/Inflables
1371962    | /Bebés y juguetes/Juguetes/Juguetes Electrónicos
1371964    | /Bebés y juguetes/Juguetes/Juguetes para Niñas
1371965    | /Bebés y juguetes/Juguetes/Juguetes para Niños
442922     | /Bebés y juguetes/Juguetes/Lego
1371961    | /Bebés y juguetes/Juguetes/Montables
4667418    | /Bebés y juguetes/Juguetes/Musicales
4690712    | /Bebés y juguetes/Juguetes/Otros
1371968    | /Bebés y juguetes/Juguetes/Peluches
4667420    | /Bebés y juguetes/Juguetes/Tumblings
1371646    | /Belleza y Cuidado Personal
4690707    | /Belleza y Cuidado Personal/Accesorios
4690708    | /Belleza y Cuidado Personal/Accesorios/Otros
1371684    | /Belleza y Cuidado Personal/Afeitado y depilación
1371921    | /Belleza y Cuidado Personal/Afeitado y depilación/Accesorios
1371920    | /Belleza y Cuidado Personal/Afeitado y depilación/Depiladoras
4664478    | /Belleza y Cuidado Personal/Afeitado y depilación/Espumas, Geles y Cremas
4664471    | /Belleza y Cuidado Personal/Afeitado y depilación/Rastrillos y Navajas
1371918    | /Belleza y Cuidado Personal/Afeitado y depilación/Rasuradoras
1371919    | /Belleza y Cuidado Personal/Afeitado y depilación/Recortadoras
1371685    | /Belleza y Cuidado Personal/Cuidado de la piel
1371925    | /Belleza y Cuidado Personal/Cuidado de la piel/Accesorios para el cuidado
4664483    | /Belleza y Cuidado Personal/Cuidado de la piel/Bálsamos Labiales
1371922    | /Belleza y Cuidado Personal/Cuidado de la piel/Cuidado Corporal
1371923    | /Belleza y Cuidado Personal/Cuidado de la piel/Cuidado Facial
4664484    | /Belleza y Cuidado Personal/Cuidado de la piel/Protección Solar
4664486    | /Belleza y Cuidado Personal/Cuidado de la piel/Tratamientos Faciales y Corporales
1371686    | /Belleza y Cuidado Personal/Cuidado del cabello
1371930    | /Belleza y Cuidado Personal/Cuidado del cabello/Accesorios para el cabello
1371929    | /Belleza y Cuidado Personal/Cuidado del cabello/Alaciadoras y Planchas
4664514    | /Belleza y Cuidado Personal/Cuidado del cabello/Cepillos
4664515    | /Belleza y Cuidado Personal/Cuidado del cabello/Combos
1371928    | /Belleza y Cuidado Personal/Cuidado del cabello/Rizadoras
1371927    | /Belleza y Cuidado Personal/Cuidado del cabello/Secadoras
4664511    | /Belleza y Cuidado Personal/Cuidado del cabello/Tintes y Decolorantes
4664512    | /Belleza y Cuidado Personal/Cuidado del cabello/Tratamientos del Cabello
886458     | /Belleza y Cuidado Personal/Estética y Spa
890111     | /Belleza y Cuidado Personal/Estética y Spa/Accesorios de estética
4664524    | /Belleza y Cuidado Personal/Estética y Spa/Cojines Térmicos
4664522    | /Belleza y Cuidado Personal/Estética y Spa/Manicure y Pedicure
4664523    | /Belleza y Cuidado Personal/Estética y Spa/Masajeadores
886461     | /Belleza y Cuidado Personal/Estética y Spa/Muebles
4664521    | /Belleza y Cuidado Personal/Estética y Spa/Pelucas y Extensiones
890112     | /Belleza y Cuidado Personal/Estética y Spa/Spa y Camas de Masaje
577967     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos
4664559    | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Accesorios
577972     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Brochas y Aplicadores
577970     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Labios
577969     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Ojos
4664560    | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Organizadores de Maquillaje
577968     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Rostro
4664558    | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Sets de Maquillaje
577971     | /Belleza y Cuidado Personal/Maquillaje y Cosméticos/Uñas
1371683    | /Belleza y Cuidado Personal/Perfumes y lociones
1371913    | /Belleza y Cuidado Personal/Perfumes y lociones/Hombre
1371915    | /Belleza y Cuidado Personal/Perfumes y lociones/Infantiles
1371914    | /Belleza y Cuidado Personal/Perfumes y lociones/Mujer
1371917    | /Belleza y Cuidado Personal/Perfumes y lociones/Sets
1371916    | /Belleza y Cuidado Personal/Perfumes y lociones/Unisex
1371640    | /Colchones y Boxes
1371663    | /Colchones y Boxes/Boxes
1371775    | /Colchones y Boxes/Boxes/Individual
128538     | /Colchones y Boxes/Boxes/King Size
1371776    | /Colchones y Boxes/Boxes/Matrimonial
1371777    | /Colchones y Boxes/Boxes/Queen Size
1371662    | /Colchones y Boxes/Colchones
4699293    | /Colchones y Boxes/Colchones en Caja
4699294    | /Colchones y Boxes/Colchones en Caja/Individual
4699296    | /Colchones y Boxes/Colchones en Caja/King Size
4699295    | /Colchones y Boxes/Colchones en Caja/Matrimonial
4699298    | /Colchones y Boxes/Colchones en Caja/Queen Size
1371771    | /Colchones y Boxes/Colchones/Individual
1371774    | /Colchones y Boxes/Colchones/King Size
1371772    | /Colchones y Boxes/Colchones/Matrimonial
4683151    | /Colchones y Boxes/Colchones/Para Cunas
1371773    | /Colchones y Boxes/Colchones/Queen Size
1371664    | /Colchones y Boxes/Sets de colchones
1371778    | /Colchones y Boxes/Sets de colchones/Individual
1371781    | /Colchones y Boxes/Sets de colchones/King Size
1371779    | /Colchones y Boxes/Sets de colchones/Matrimonial
1371780    | /Colchones y Boxes/Sets de colchones/Queen Size
1371654    | /Cómputo
1371727    | /Cómputo/Accesorios y periféricos
1372125    | /Cómputo/Accesorios y periféricos/Audífonos y Micrófonos
1372122    | /Cómputo/Accesorios y periféricos/Bocinas PC
107656     | /Cómputo/Accesorios y periféricos/Cables y Adaptadores
107662     | /Cómputo/Accesorios y periféricos/Candados
645356     | /Cómputo/Accesorios y periféricos/Carcasas y Fundas
1372124    | /Cómputo/Accesorios y periféricos/Cargadores Pc
357865     | /Cómputo/Accesorios y periféricos/Componentes
1372129    | /Cómputo/Accesorios y periféricos/Cámaras Web
128269     | /Cómputo/Accesorios y periféricos/Gestión de Servidores
1372126    | /Cómputo/Accesorios y periféricos/Hub
1372127    | /Cómputo/Accesorios y periféricos/Mochilas y Maletines
4728032    | /Cómputo/Accesorios y periféricos/Papelería
1372130    | /Cómputo/Accesorios y periféricos/Reguladores
4656982    | /Cómputo/Accesorios y periféricos/Sillas Gamer y Accesorios
1372128    | /Cómputo/Accesorios y periféricos/Teclados y Mouse
1371724    | /Cómputo/Almacenamiento
1372112    | /Cómputo/Almacenamiento/Discos Duros
1372113    | /Cómputo/Almacenamiento/Memorias USB
1371721    | /Cómputo/De escritorio
1372106    | /Cómputo/De escritorio/All-In-One
1372104    | /Cómputo/De escritorio/CPU
1372105    | /Cómputo/De escritorio/Desktop
4656483    | /Cómputo/De escritorio/Desktop Gaming
1371725    | /Cómputo/Impresión y scanners
4656492    | /Cómputo/Impresión y scanners/Consumibles
1372117    | /Cómputo/Impresión y scanners/Fax
1372115    | /Cómputo/Impresión y scanners/Impresoras
1372116    | /Cómputo/Impresión y scanners/Scanners
1371722    | /Cómputo/Monitores y Proyección
1372109    | /Cómputo/Monitores y Proyección/Lentes De Proyección
1372103    | /Cómputo/Monitores y Proyección/Monitores
1372108    | /Cómputo/Monitores y Proyección/Pantallas Para Proyección
1372107    | /Cómputo/Monitores y Proyección/Proyectores
1371720    | /Cómputo/Portátiles
1372102    | /Cómputo/Portátiles/2-En-1
4656482    | /Cómputo/Portátiles/Gaming
1372099    | /Cómputo/Portátiles/Laptops
1371723    | /Cómputo/Software
1372110    | /Cómputo/Software/Antivirus
1372111    | /Cómputo/Software/Programas
845647     | /Cómputo/Sublimación
845652     | /Cómputo/Sublimación/Consumibles
845651     | /Cómputo/Sublimación/Insumos
845648     | /Cómputo/Sublimación/Maquinaria
1371728    | /Cómputo/Tablets y Accesorios
1372133    | /Cómputo/Tablets y Accesorios/Accesorios
718020     | /Cómputo/Tablets y Accesorios/E-readers
1372132    | /Cómputo/Tablets y Accesorios/Tablets
1371649    | /Deportes
1371696    | /Deportes/Accesorios Deportivos
1371999    | /Deportes/Accesorios Deportivos/Fajas y Cinturones
1372006    | /Deportes/Accesorios Deportivos/Fit Bands
1372004    | /Deportes/Accesorios Deportivos/GPS y Podómetros
1371995    | /Deportes/Accesorios Deportivos/Guantes y Protección de Gimnasio
1371988    | /Deportes/Accesorios Deportivos/Ligas y Bandas de Resistencia
50358130   | /Deportes/Accesorios Deportivos/Muñequeras y Tobilleras
4652582    | /Deportes/Accesorios Deportivos/Otros Accesorios Deportivos
53081315   | /Deportes/Accesorios Deportivos/Protección y Rehabilitación
1371992    | /Deportes/Accesorios Deportivos/Trampolines para Ejercicio
1371697    | /Deportes/Bicicletas
1372002    | /Deportes/Bicicletas/Accesorios y Refacciones
4850056    | /Deportes/Bicicletas/Bicicletas Eléctricas
1372003    | /Deportes/Bicicletas/Bicicletas Infantiles
4688833    | /Deportes/Bicicletas/Bicicletas Plegables
4651165    | /Deportes/Bicicletas/Bicicletas Urbanas
1372000    | /Deportes/Bicicletas/Bicicletas de Montaña
4651162    | /Deportes/Bicicletas/Bicicletas de Ruta
712974     | /Deportes/Bicicletas/Triciclos
